codigo,nome,categoria_prazo,observacao
22,Baixa Definitiva,,
26,Distribuição,,
36,Redistribuição,,
51,Conclusão,,
60,Expedição de documento,preparatorio,"Expedição de documento — genérico, pode preceder comunicação formal."
85,Petição,,
92,Publicação,gatilho_provavel,Publicação — gatilho clássico de intimação/prazo (processo físico e eletrônico).
106,Mandado,preparatorio,"Mandado — expedição de mandado; antecede citação/intimação por oficial de justiça, não é o marco inicial em si."
118,Protocolo de Petição,,
123,Remessa,,
132,Recebimento,,
135,Apensamento,,
196,Extinção da execução ou do cumprimento da sentença,,
198,Acolhimento de Embargos de Declaração,,
200,Não-Acolhimento de Embargos de Declaração,,
218,Sem Resolução de Mérito,,
219,Procedência,,
220,Improcedência,,
221,Procedência em Parte,,
230,Recurso prejudicado,,
235,Não Conhecimento de recurso,,
236,Negação de Seguimento,,
237,Provimento,,
239,Não-Provimento,,
242,Conhecimento em Parte e Não-Provimento ou Denegação,,
245,Provisório,,
246,Definitivo,,
263,Réu revel citado por edital,citacao_especifica,"Réu revel citado por edital — citação específica, caso raro."
265,Recurso Extraordinário com repercussão geral,,
272,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",,
276,Execução frustrada,,
313,Sessão do Tribunal do Júri,,
332,Antecipação de tutela,,
334,Gratuidade da Justiça,,
339,Liminar,,
347,Antecipação de Tutela,,
371,Incompetência,,
391,Denúncia,,
394,Com efeito suspensivo,,
417,Inclusão em pauta,,
432,Recurso Extraordinário,,
454,Indeferimento da petição inicial,,
458,Abandono da causa,,
459,Ausência de pressupostos processuais,,
461,Ausência das condições da ação,,
463,Desistência,,
466,Homologação de Transação,,
471,Pronúncia de Decadência ou Prescrição,,
472,"Sumaríssimo (art. 852-B, § 1º/CLT)",,
473,Ausência do Reclamante,,
493,Entrega em carga/vista,,
581,Documento,,
785,Antecipação de tutela,,
787,Gratuidade da Justiça,,
792,Liminar,,
818,Liberdade provisória,,
848,Trânsito em julgado,,
849,Reativação,,
870,Autos Eliminados,,
871,Acolhimento em parte de Embargos de Declaração,,
892,Liminar,,
893,Desarquivamento,,
898,Por decisão judicial,,
941,Incompetência,,
968,Não-Concessão,,
970,Audiência,possivel_gatilho_secundario,"Audiência — pode gerar prazos subsequentes (ex: razões finais, recursos) dependendo do rito."
972,Provimento (art. 557 do CPC),,
977,Recebimento,,
979,Recebimento,,
980,Remessa,,
981,Recebimento,,
982,Remessa,,
985,Mandado,preparatorio,"Mandado — variante de código de outro grau/sistema, mesmo sentido de 106."
1013,Determinação,,
1042,Morte do agente,,
1051,Decurso de Prazo,resultado_auditoria,"Decurso de Prazo — é resultado (prazo já correu), não gatilho. Útil como conferência cruzada: se aparece sem prazo cadastrado, é sinal de furo no sistema."
